0,io_setup,0x00,unsigned nr_reqs,aio_context_t *ctx,-,-,-,-,man/ cs/
1,io_destroy,0x01,aio_context_t ctx,-,-,-,-,-,man/ cs/
2,io_submit,0x02,aio_context_t,long,struct iocb * *,-,-,-,man/ cs/
3,io_cancel,0x03,aio_context_t ctx_id,struct iocb *iocb,struct io_event *result,-,-,-,man/ cs/
4,io_getevents,0x04,aio_context_t ctx_id,long min_nr,long nr,struct io_event *events,struct timespec *timeout,-,man/ cs/
5,setxattr,0x05,const char *path,const char *name,const void *value,size_t size,int flags,-,man/ cs/
6,lsetxattr,0x06,const char *path,const char *name,const void *value,size_t size,int flags,-,man/ cs/
7,fsetxattr,0x07,int fd,const char *name,const void *value,size_t size,int flags,-,man/ cs/
8,getxattr,0x08,const char *path,const char *name,void *value,size_t size,-,-,man/ cs/
9,lgetxattr,0x09,const char *path,const char *name,void *value,size_t size,-,-,man/ cs/
10,fgetxattr,0x0a,int fd,const char *name,void *value,size_t size,-,-,man/ cs/
11,listxattr,0x0b,const char *path,char *list,size_t size,-,-,-,man/ cs/
12,llistxattr,0x0c,const char *path,char *list,size_t size,-,-,-,man/ cs/
13,flistxattr,0x0d,int fd,char *list,size_t size,-,-,-,man/ cs/
14,removexattr,0x0e,const char *path,const char *name,-,-,-,-,man/ cs/
15,lremovexattr,0x0f,const char *path,const char *name,-,-,-,-,man/ cs/
16,fremovexattr,0x10,int fd,const char *name,-,-,-,-,man/ cs/
17,getcwd,0x11,char *buf,unsigned long size,-,-,-,-,man/ cs/
18,lookup_dcookie,0x12,u64 cookie64,char *buf,size_t len,-,-,-,man/ cs/
19,eventfd2,0x13,unsigned int count,int flags,-,-,-,-,man/ cs/
20,epoll_create1,0x14,int flags,-,-,-,-,-,man/ cs/
21,epoll_ctl,0x15,int epfd,int op,int fd,struct epoll_event *event,-,-,man/ cs/
22,epoll_pwait,0x16,int epfd,struct epoll_event *events,int maxevents,int timeout,const sigset_t *sigmask,size_t sigsetsize,man/ cs/
23,dup,0x17,unsigned int fildes,-,-,-,-,-,man/ cs/
24,dup3,0x18,unsigned int oldfd,unsigned int newfd,int flags,-,-,-,man/ cs/
25,fcntl,0x19,unsigned int fd,unsigned int cmd,unsigned long arg,-,-,-,man/ cs/
26,inotify_init1,0x1a,int flags,-,-,-,-,-,man/ cs/
27,inotify_add_watch,0x1b,int fd,const char *path,u32 mask,-,-,-,man/ cs/
28,inotify_rm_watch,0x1c,int fd,__s32 wd,-,-,-,-,man/ cs/
29,ioctl,0x1d,unsigned int fd,unsigned int cmd,unsigned long arg,-,-,-,man/ cs/
30,ioprio_set,0x1e,int which,int who,int ioprio,-,-,-,man/ cs/
31,ioprio_get,0x1f,int which,int who,-,-,-,-,man/ cs/
32,flock,0x20,unsigned int fd,unsigned int cmd,-,-,-,-,man/ cs/
33,mknodat,0x21,int dfd,const char * filename,umode_t mode,unsigned dev,-,-,man/ cs/
34,mkdirat,0x22,int dfd,const char * pathname,umode_t mode,-,-,-,man/ cs/
35,unlinkat,0x23,int dfd,const char * pathname,int flag,-,-,-,man/ cs/
36,symlinkat,0x24,const char * oldname,int newdfd,const char * newname,-,-,-,man/ cs/
37,linkat,0x25,int olddfd,const char *oldname,int newdfd,const char *newname,int flags,-,man/ cs/
38,renameat,0x26,int olddfd,const char * oldname,int newdfd,const char * newname,-,-,man/ cs/
39,umount2,0x27,?,?,?,?,?,?,man/ cs/
40,mount,0x28,char *dev_name,char *dir_name,char *type,unsigned long flags,void *data,-,man/ cs/
41,pivot_root,0x29,const char *new_root,const char *put_old,-,-,-,-,man/ cs/
42,nfsservctl,0x2a,?,?,?,?,?,?,man/ cs/
43,statfs,0x2b,const char * path,struct statfs *buf,-,-,-,-,man/ cs/
44,fstatfs,0x2c,unsigned int fd,struct statfs *buf,-,-,-,-,man/ cs/
45,truncate,0x2d,const char *path,long length,-,-,-,-,man/ cs/
46,ftruncate,0x2e,unsigned int fd,unsigned long length,-,-,-,-,man/ cs/
47,fallocate,0x2f,int fd,int mode,loff_t offset,loff_t len,-,-,man/ cs/
48,faccessat,0x30,int dfd,const char *filename,int mode,-,-,-,man/ cs/
49,chdir,0x31,const char *filename,-,-,-,-,-,man/ cs/
50,fchdir,0x32,unsigned int fd,-,-,-,-,-,man/ cs/
51,chroot,0x33,const char *filename,-,-,-,-,-,man/ cs/
52,fchmod,0x34,unsigned int fd,umode_t mode,-,-,-,-,man/ cs/
53,fchmodat,0x35,int dfd,const char * filename,umode_t mode,-,-,-,man/ cs/
54,fchownat,0x36,int dfd,const char *filename,uid_t user,gid_t group,int flag,-,man/ cs/
55,fchown,0x37,unsigned int fd,uid_t user,gid_t group,-,-,-,man/ cs/
56,openat,0x38,int dfd,const char *filename,int flags,umode_t mode,-,-,man/ cs/
57,close,0x39,unsigned int fd,-,-,-,-,-,man/ cs/
58,vhangup,0x3a,-,-,-,-,-,-,man/ cs/
